epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21561.4,1.04841,1.08974,1.29302,0.61314,0.61916,0.63094,0.41622,1.13927,1.24386,1.36249,0.0011882,0.0011882,0.0011882
43,22068.7,1.0298,1.05981,1.28091,0.5956,0.6242,0.62103,0.41479,1.15194,1.26028,1.36695,0.0011684,0.0011684,0.0011684
44,22577.1,1.00285,1.01416,1.25822,0.61155,0.6169,0.62508,0.41131,1.15649,1.26061,1.37197,0.0011486,0.0011486,0.0011486
45,23087.3,1.00545,1.01088,1.26041,0.62541,0.59853,0.62383,0.41444,1.14599,1.25815,1.36527,0.0011288,0.0011288,0.0011288
46,23596.6,0.99217,0.99027,1.25471,0.62565,0.61595,0.63279,0.41936,1.14188,1.22903,1.37644,0.001109,0.001109,0.001109
47,24111.4,0.98428,0.96743,1.25056,0.6549,0.58879,0.62699,0.41622,1.16789,1.2414,1.37718,0.0010892,0.0010892,0.0010892
48,24622.1,0.9679,0.94523,1.23256,0.64952,0.61641,0.64336,0.43047,1.12563,1.20076,1.36511,0.0010694,0.0010694,0.0010694
49,25136,0.96266,0.92305,1.23094,0.64363,0.5976,0.63577,0.42782,1.13844,1.23509,1.36352,0.0010496,0.0010496,0.0010496
50,25643,0.94815,0.9176,1.21762,0.6238,0.62145,0.63148,0.41853,1.15395,1.21495,1.38615,0.0010298,0.0010298,0.0010298
51,26152.8,0.94054,0.89657,1.21619,0.63519,0.61412,0.63828,0.42942,1.13003,1.20221,1.36322,0.00101,0.00101,0.00101
52,26663.1,0.9275,0.87961,1.20345,0.65888,0.62673,0.64827,0.43391,1.13665,1.18791,1.36215,0.0009902,0.0009902,0.0009902
53,27176.8,0.91943,0.85695,1.19908,0.61294,0.63649,0.63898,0.43281,1.12998,1.19661,1.3689,0.0009704,0.0009704,0.0009704
54,27683.4,0.91713,0.8516,1.19534,0.65414,0.61197,0.64648,0.43106,1.14764,1.19226,1.37983,0.0009506,0.0009506,0.0009506
55,28192.4,0.89326,0.81595,1.17642,0.627,0.63978,0.63497,0.42735,1.14912,1.19253,1.39793,0.0009308,0.0009308,0.0009308
56,28698.9,0.89443,0.80784,1.17577,0.62402,0.63107,0.63512,0.43196,1.1415,1.21124,1.38662,0.000911,0.000911,0.000911
57,29206.7,0.87442,0.77851,1.16324,0.63133,0.62328,0.63422,0.42654,1.14826,1.20651,1.39346,0.0008912,0.0008912,0.0008912
58,29714.8,0.86456,0.77039,1.15883,0.64038,0.61916,0.64638,0.43547,1.14282,1.19133,1.39166,0.0008714,0.0008714,0.0008714
59,30229.7,0.85327,0.75278,1.14695,0.65433,0.60724,0.63774,0.43164,1.13852,1.18482,1.38286,0.0008516,0.0008516,0.0008516
60,30736.1,0.85569,0.74516,1.14905,0.63385,0.64343,0.64088,0.42991,1.13984,1.18373,1.38369,0.0008318,0.0008318,0.0008318
61,31242.3,0.84443,0.72981,1.13905,0.65451,0.6462,0.65508,0.44562,1.13003,1.15096,1.38572,0.000812,0.000812,0.000812
62,31757.9,0.82961,0.71399,1.13117,0.62915,0.64766,0.64129,0.43843,1.12893,1.16748,1.38903,0.0007922,0.0007922,0.0007922
63,32264.3,0.82058,0.70034,1.12326,0.67741,0.6022,0.64689,0.44189,1.11933,1.16574,1.37987,0.0007724,0.0007724,0.0007724
64,32771.1,0.81393,0.68438,1.11804,0.6683,0.62099,0.63968,0.43605,1.13344,1.18017,1.39037,0.0007526,0.0007526,0.0007526
65,33278.8,0.79374,0.66577,1.10983,0.64131,0.65061,0.64882,0.44271,1.12309,1.17682,1.38152,0.0007328,0.0007328,0.0007328
66,33788,0.79358,0.66842,1.10448,0.66524,0.62557,0.64718,0.43951,1.13077,1.16945,1.39822,0.000713,0.000713,0.000713
67,34295.7,0.78337,0.64499,1.09883,0.65158,0.63338,0.64924,0.44115,1.13287,1.17161,1.40144,0.0006932,0.0006932,0.0006932
